laptop_ID,Company,Product,TypeName,Inches,screenresolution_height,screenresolution_width,touchscreen,Cpu_name,cpu_brand,Cpu_speed,Ram,primary_memory,secondary_memory,memory_type,gpu_name,gpu_brand,OpSys,Weight,Price_euros
96,Asus,"Zenbook UX430UA",Ultrabook,14,1920,1080,0,"  Core i7 7500U  ",Intel,2.7,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,1049
97,Acer,"Spin 5","2 in 1 Convertible",13.3,1920,1080,1,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,847
98,Dell,"Inspiron 3567",Notebook,15.6,1920,1080,0,"  Core i7 7500U  ",Intel,2.7,8,1024,0,HDD,AMD,"R5 M430",linux,2,600
99,Dell,"Inspiron 3567",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,"256 ",0,SSD,AMD,"R5 M430",linux,2,485
100,Asus,"X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce",Notebook,15.6,1920,1080,0,"  Core i3 7100U  ",Intel,2.4,6,"256 ",0,SSD,Nvidia,"GeForce 920M",windows,2,577
102,HP,"Omen 15-ce007nv",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,12,"128 ",1024,hybrid,Nvidia,"GTX 1050",windows,3,1249
103,HP,"15-bs017nv (i7-7500U/8GB/256GB/Radeon",Notebook,15.6,1920,1080,0,"  Core i7 7500U  ",Intel,2.7,8,"256 ",0,SSD,AMD,"Radeon 530",windows,2,719
104,HP,"15-bw000nv (E2-9000e/4GB/500GB/Radeon",Notebook,15.6,1920,1080,0,"  E-Series E2-9000e  ",AMD,1.5,4,"500 ",0,HDD,AMD,"Radeon R2",windows,2,349
105,Dell,"Inspiron 3576",Notebook,15.6,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,1024,0,HDD,AMD,"Radeon 520",linux,2,647
106,HP,"Envy 13-ad009n",Ultrabook,13.3,1920,1080,0,"  Core i7 7500U  ",Intel,2.7,8,"256 ",0,SSD,Nvidia,"GeForce MX150",windows,1,1119
107,Microsoft,"Surface Laptop",Ultrabook,13.5,2256,1504,1,"  Core i5 7200U  ",Intel,2.5,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,1340
108,HP,"Pavilion 14-BK001nv",Notebook,14,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,6,"256 ",0,SSD,Nvidia,"GeForce 940MX",windows,2,659
109,Lenovo,"Ideapad 310-15ISK",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,1024,0,HDD,Intel,"Graphics 520",windows,2,415
110,Asus,"UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce",Ultrabook,14,1920,1080,0,"  Core i7 7500U  ",Intel,2.7,8,"256 ",0,SSD,Nvidia,"GeForce 940MX",windows,1,1193
111,MSI,"GP62M 7REX",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"256 ",1024,hybrid,Nvidia,"1050 Ti",windows,2,1299
112,Lenovo,"Thinkpad T470",Notebook,14,1920,1080,0,"  Core i7 7500U  ",Intel,2.7,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,1480
113,Asus,"VivoBook S15",Ultrabook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,16,"256 ",1024,hybrid,Nvidia,"GeForce MX150",windows,2,1262
114,Dell,"XPS 13",Ultrabook,13.3,3200,1800,1,"  Core i7 7560U  ",Intel,2.4,8,"256 ",0,SSD,Intel,"Graphics 640",windows,1,1379
115,Lenovo,"ThinkPad Yoga","2 in 1 Convertible",13.3,1920,1080,1,"  Core i5 7200U  ",Intel,2.5,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,1399
116,HP,"Probook 440",Notebook,14,1366,768,0,"  Core i5 8250U  ",Intel,1.6,4,"500 ",0,HDD,Intel,"Graphics 620",windows,2,722
117,Dell,"XPS 13",Ultrabook,13.3,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,1629
118,HP,"Spectre x360","2 in 1 Convertible",13.3,1920,1080,1,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,1399
119,HP,"Probook 440",Notebook,14,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"512 ",0,SSD,Intel,"Graphics 620",windows,2,1084
120,Dell,"Inspiron 7570",Notebook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",1024,hybrid,Nvidia,"GeForce 940MX",windows,2,1130
121,Asus,"X705UV-BX074T (i3-6006U/4GB/1TB/GeForce",Notebook,17.3,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,1024,0,HDD,Nvidia,"GeForce 920MX",windows,2,564
122,Asus,"VivoBook S15",Notebook,15.6,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Nvidia,"GeForce 940MX",windows,2,1118
123,Acer,"Spin 3",Notebook,15.6,1920,1080,1,"  Core i3 7100U  ",Intel,2.4,6,1024,0,HDD,Intel,"Graphics 620",windows,2,479
124,MSI,"GS63VR 7RG",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"256 ",2048,hybrid,Nvidia,"GTX 1070",windows,2,2242
125,Lenovo,"IdeaPad 320-15IKBN",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,8,"256 ",0,SSD,Nvidia,"GeForce 940MX",N/A,2,629
126,HP,"Probook 470",Notebook,17.3,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,16,"512 ",0,SSD,Nvidia,"930MX ",windows,2,1271
127,Acer,"Aspire 3",Notebook,15.6,1366,768,0,"  A9-Series 9420  ",AMD,3,4,"256 ",0,SSD,AMD,"Radeon R5",windows,2,451
128,HP,"250 G6",Notebook,15.6,1366,768,0,"  Celeron Dual Core N3060  ",Intel,1.6,4,"500 ",0,HDD,Intel,"Graphics 400",N/A,2,259
129,HP,"Probook 440",Notebook,14,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,1024,0,HDD,Intel,"Graphics 620",windows,2,812
130,Asus,"E402WA-GA007T (E2-6110/4GB/64GB/W10",Notebook,14,1366,768,0,"  E-Series 6110  ",AMD,1.5,4,"64 ",0,SSD,AMD,"Radeon R2",windows,2,278
131,Dell,"Inspiron 5770",Notebook,17.3,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,16,"256 ",2048,hybrid,AMD,"Radeon 530",windows,3,1396
132,HP,"ProBook 470",Notebook,17.3,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,928
133,Dell,"Inspiron 5567",Notebook,15.6,1366,768,0,"  Core i5 7200U  ",Intel,2.5,8,1024,0,HDD,AMD,"R7 M445",windows,2,639
134,Dell,"Inspiron 3567",Notebook,15.6,1920,1080,0,"  Core i3 6006U  ",Intel,2,4,1024,0,HDD,AMD,"R5 M430",windows,2,449
135,Acer,"Swift 3",Ultrabook,14,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,884
136,Acer,"Aspire A515-51G-37JS",Notebook,15.6,1920,1080,0,"  Core i3 7130U  ",Intel,2.7,4,"256 ",0,SSD,Nvidia,"GeForce MX130",windows,2,572
137,HP,"15-BS078nr (i7-7500U/8GB/1TB/W10)",Notebook,15.6,1366,768,0,"  Core i7 7500U  ",Intel,2.7,8,1024,0,HDD,Intel,"Graphics 620",windows,2,598
138,HP,"Probook 440",Notebook,14,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Intel,"Graphics 620",windows,2,988
139,Lenovo,"V110-15IAP (N3350/4GB/1TB/No",Notebook,15.6,1366,768,0,"  Celeron Dual Core N3350  ",Intel,1.1,4,1024,0,HDD,Intel,"Graphics 500",N/A,2,252
140,Asus,"FX753VD-GC086T (i5-7300HQ/8GB/1TB",Gaming,17.3,1920,1080,0,"  Core i5 7300HQ  ",Intel,2.5,8,"128 ",1024,hybrid,Nvidia,"GTX 1050",windows,3,938
141,Lenovo,"IdeaPad 320-15IKBN",Notebook,15.6,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,4,1024,0,HDD,Nvidia,"GeForce 920MX",N/A,2,499
142,HP,"Envy 13-AD007nv",Notebook,13.3,1920,1080,0,"  Core i5 7200U  ",Intel,2.5,4,"256 ",0,SSD,Intel,"Graphics 620",windows,1,699
143,Acer,"Aspire 5",Notebook,17.3,1920,1080,0,"  Core i3 7130U  ",Intel,2.7,4,1024,0,HDD,Nvidia,"GeForce MX130",windows,3,655
144,Lenovo,"ThinkPad E480",Notebook,14,1920,1080,0,"  Core i5 8250U  ",Intel,1.6,8,"256 ",0,SSD,AMD,"RX 550",windows,2,1116
145,Lenovo,"Legion Y520-15IKBN",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,8,"256 ",0,SSD,Nvidia,"GTX 1050M",N/A,2,869
146,Toshiba,"Satellite Pro",Notebook,15.6,1366,768,0,"  Core i5 6200U  ",Intel,2.3,4,"500 ",0,HDD,Intel,"Graphics 520",windows,2,602
147,HP,"255 G6",Notebook,15.6,1366,768,0,"  A6-Series 9220  ",AMD,2.5,4,"256 ",0,SSD,AMD,"R4 Graphics",windows,2,369
148,Asus,"ZenBook UX430UA",Ultrabook,14,1920,1080,0,"  Core i7 8550U  ",Intel,1.8,8,"256 ",0,SSD,Intel,"Graphics 620",windows,1,1099
149,HP,"EliteBook Folio",Ultrabook,12.5,3840,2160,1,"  Core M 6Y75  ",Intel,1.2,8,"512 ",0,SSD,Intel,"Graphics 515",windows,1,2014
150,Asus,"X541NA (N3350/4GB/1TB/FHD/W10)",Notebook,15.6,1920,1080,0,"  Celeron Dual Core N3350  ",Intel,1.1,4,1024,0,HDD,Intel,"Graphics 500",windows,2,344
151,MSI,"GE72MVR 7RG",Gaming,17.3,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"256 ",1024,hybrid,Nvidia,"GTX 1070",windows,3,2029
152,Acer,"Aspire A315-51",Notebook,15.6,1366,768,0,"  Core i3 6006U  ",Intel,2,4,1024,0,HDD,Intel,"Graphics 520",windows,2,447
153,Dell,"Inspiron 5577",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,16,"512 ",0,SSD,Nvidia,"GTX 1050",windows,3,1249
154,Dell,"Inspiron 7567",Gaming,15.6,1920,1080,0,"  Core i7 7700HQ  ",Intel,2.8,8,1.0,0,other,Nvidia,"GTX 1050",windows,3,899
